Title,JobDescription
Java Developer,Creating and developing software products for Network
Java Developer,A leading American software development company isactively looking for Java developers for complex and longterm projectsThe position entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Sales Manager,On behalf of its partner Ameria CJSC is seekingapplicants for the position of Sales Manager Sales Manager manages thecompanys sales and development functions provides highly responsibleand technically complex staff assistance to CEO The work performedrequires a high level of proficiency in marketing distribution andsales management as well as management supervisory and administrativeskills
Java Developer,A leading American software development company isactively looking for Java developers for complex and longterm projectsThe position entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Java Developer,A leading American software development company isactively looking for Java developers for complex and longterm projectsThe position entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Sales Manager,We are looking for a dedicated responsible activeand enthusiastic personality for the position of Sales Manager
Sales Manager,We are seeking a Sales Manager for a company involvedin sale of building material
Java Developer,The responsibilities of this position are focused oncore software development tasks in Synergy International Systems IncThis position will be filled by a software developer with a provenhistory of producing quality software product in a commercial settingwith experience in all aspects of the software development processincluding design implementation testing and delivery
Sales Manager,The Sales Manager will deal with trade representativesand partners
Sales Manager,The incumbent will sell real estate in the territoryof Vahakni Community
Java Developer,We are looking for a Java Developer with strongknowledge of relationship database
Java Developer,The responsibilities of this position are focused oncore software development tasks in Synergy International Systems IncThis position will be filled by a Software Developer with a provenhistory of producing quality software product in a commercial settingwith experience in all aspects of the software development processincluding design implementation testing and delivery
Sales Manager,Business Depot International Services LLC is lookingfor candidates to fulfill the position of Sales Manager
Java Developer,The responsibilities of this position are focused oncore software development tasks in Synergy International Systems IncSynergys main focus is on developing integrated stateoftheart WebDatabase and Web Portal systems for business intelligence knowledgemanagement and eGovernment solutions This position will be filled by asoftware developer with a proven history of producing quality softwareproduct in a commercial setting with experience in all aspects of thesoftware development process including design implementation testingand delivery
Java Developer,An American software development company is activelylooking for Java developers for complex and longterm projects Theposition entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Sales Manager,We are looking for a candidate to fulfill the positionof Sales Manager who will communicate with clients and organize wholesale process in the company office
Java Developer,Vested Development Inc is actively looking for Javadevelopers for complex and longterm projects The position entailsworking with Sun and IBM products portal solutions the latest Javatechnologies The projects will deal with large wellknown customers
Sales Manager,The incumbent will sell real estate in the territoryof Vahakni Community
Java Developer,Synergy International Systems IncArmenia seeks tofill the position of Java Developer The responsibilities of thisposition are focused on core software development tasks in SynergyInternational Systems Inc
Java Developer,The responsibilities of this position are focused onsoftware development tasks related to the upcoming projects in SynergyInternational Systems Inc This position will be filled by a softwaredeveloper with a proven history of producing quality software product ina commercial setting with experience in all aspects of the softwaredevelopment process including design implementation testing anddelivery
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Java Developer,Nairisoft Inc is looking for a highly qualifiedperson with deep knowledge and practical experience in Web programmingThe selected candidate will be involved in all stages of the developmentlife cycle
Sales Manager,Valletta LLC is announcing a position of Sales Managerand looking for a highly motivated and experienced person
Sales Manager,Yerevan Telecom Solutions seeks highly motivated andexperienced candidates to fill the longterm position of Sales Manager
Sales Manager,Kantis management is looking for Sales Manager whowill work with foreign organizations in the field of telecomunication
Sales Manager,Almeda CJSC is seeking a qualified person for theposition of Sales Manager to be responsible for sale of medicalproducts
Java Developer,SCDM LLC is looking for highly experienced Javadevelopers for a longterm project They will work as a member of a teambased on the guidelines and technical assistance of Austrian partners fordeveloping special software in financial analysis field The incumbentwill work in close collaboration with the Project Manager to understandthe application requirements and be able to validate that thedevelopment answers the business requirements
Java Developer,Lucipa Software is developing a new product and islooking for Java Developers to lead the application design efforts Thisincludes production of written design specifications and the definitionof development activities required to meet the business requirementsThe Java Developers are responsible for handson software developmentand ensuring the highest quality of all delivered solutions throughunit integrated and full system testing activities Efforts insoftware development will run from analysis through implementation
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Java Developer,The Virtual Solution Global Services LLC is seekingfor a motivated Java Developer for Web based applications development
Java Developer,Webb Fontaine Armenia is seeking for Java Developerfor the development of Javabased applications on proprietary platform
Java Developer,IOGenic is seeking a Java Developer who will workunder the direct supervision of IOGenics General Management
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Java Developer,Damaris AM Ltd is looking for a qualified JavaDeveloper to participate in Damaris products development
Sales Manager,New Age Travel LLC is looking for hard workinghighly motivated individuals who will skillfully represent the companyto the customers
Sales Manager,Raffael Contini one of the coffee manufacturers inArmenia is seeking a Sales Manager to be responsible for domestic salesof the companys produce
Java Developer,The Virtual Solution Global Services LLC is seekingfor a motivated Java Developer for Web based applications development
Java Developer,NairiSoft Inc is looking for a highly qualifiedperson with deep knowledge and practical experience in Java programmingThe selected candidate will be involved in all stages of the developmentlife cycle
Java Developer,The Virtual Solution Global Services LLC is seeking amotivated Java Developer for Web based applications development
Java Developer,Boomerang Software LLC is looking for Java Developersto be engaged in different long term projects
Sales Manager,NatFood CJSC is announcing a position of Sales Managerand looking for a highly motivated and experienced professional
Java Developer,Energize Global Services CJSC is looking for JavaDevelopers to be engaged in different long term projects
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Sales Manager,Ivtrans LLC is looking for a Sales Manager toundertake the daytoday operation management of sales
Java Developer,The Virtual Solution Global Services LLC is seeking amotivated Java Developer for Web based applications development
Sales Manager,Prof Al LLC is looking for a qualified person tomanage all the activities of a new opening showroom in Yerevan todevelop implement and manage the companys marketing and salesstrategy
