Title,Clean_JobDescripton
Project Manager,The UNDP and the Ministry of Health seekprofessionals for the project HIVAIDS and Uniformed Services
Project Manager,The Foundation Internews Georgia is seeking aqualified candidate for the full time position of Project Manager
Project Manager,Project Manager is mainly a project managementadministration position The person follows up progress of the teamsin various projects and does planning together with the architect Thisrole requires problemsolving attitude
Project Manager,International Society for Fair Elections and DemocracyISFED announces vacancy for the fulltime position of Project Manager
Java Developer,Creating and developing software products for Network
Java Developer,A leading American software development company isactively looking for Java developers for complex and longterm projectsThe position entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Project Manager,To achieve the objectives of the British Councils SEEurope Regional Plan and Armenia Country Plan through the planningimplementation and evaluation of projects mainly but not exclusivelyin Education  and Governance
Sales Manager,On behalf of its partner Ameria CJSC is seekingapplicants for the position of Sales Manager Sales Manager manages thecompanys sales and development functions provides highly responsibleand technically complex staff assistance to CEO The work performedrequires a high level of proficiency in marketing distribution andsales management as well as management supervisory and administrativeskills
Java Developer,A leading American software development company isactively looking for Java developers for complex and longterm projectsThe position entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Java Developer,A leading American software development company isactively looking for Java developers for complex and longterm projectsThe position entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Project Manager,The Project Manager will work for ArmeniaImprovingthe Energy Efficiency of Municiple Heating and Hot Water SupplyProjectUnder direct supervision of the National Project Coordinator theincumbent will ensure daily management of project ongoing activities
Project Manager,The Armenian branch of a USbased software company isseeking to fill the position of a Project Manager The responsibilitiesof this position are focused on assistance to the Senior Project Managerand Regional Representative in carrying out the monitoring and evaluationthe project implementation procedures
Sales Manager,We are looking for a dedicated responsible activeand enthusiastic personality for the position of Sales Manager
Project Manager,Synergy International Systems Inc is seeking to fillthe position of a Project Manager The responsibilities of this positionare focused on assistance to the Senior Project Manager and RegionalRepresentative in carrying out the monitoring and evaluation the projectimplementation procedures This position will be filled by an individualwith a proven history of project management This position will befilled by a candidate who has experience in all aspects of the softwaredevelopment process including design development implementation andtechnical support
Sales Manager,We are seeking a Sales Manager for a company involvedin sale of building material
Project Manager,The Armenian branch of a USbased software company isseeking to fill the position of a Project Manager The responsibilitiesof this position are focused on assistance to the Senior Project Managerand Regional Representative in carrying out the monitoring and evaluationthe project implementation procedures The selected candidate willsupervise personnel involved in the project development as well asmonitor the actual project design This will include ensuring theapplication development testing and review processes and that servicerequirements goals are met The Project Manager will schedule conductand document project review meetings meet established deadlines travelabroad to conduct needs assessments provide consulting services tocompanys clients organize training sessions for users of Synergys WebDatabase technology projects etc This position will be filled by anindividual with a proven history of project management Experience in adynamic workplace with solid project management practice is required Ideally this position will be filled by a candidate who has experiencein all aspects of the software development process including designdevelopment implementation and technical support
Java Developer,The responsibilities of this position are focused oncore software development tasks in Synergy International Systems IncThis position will be filled by a software developer with a provenhistory of producing quality software product in a commercial settingwith experience in all aspects of the software development processincluding design implementation testing and delivery
Sales Manager,The Sales Manager will deal with trade representativesand partners
Sales Manager,The incumbent will sell real estate in the territoryof Vahakni Community
Java Developer,We are looking for a Java Developer with strongknowledge of relationship database
Project Manager,Promo International is looking for highly qualifiedcandidates to fulfill the position of Project Manager
Java Developer,The responsibilities of this position are focused oncore software development tasks in Synergy International Systems IncThis position will be filled by a Software Developer with a provenhistory of producing quality software product in a commercial settingwith experience in all aspects of the software development processincluding design implementation testing and delivery
Sales Manager,Business Depot International Services LLC is lookingfor candidates to fulfill the position of Sales Manager
Java Developer,The responsibilities of this position are focused oncore software development tasks in Synergy International Systems IncSynergys main focus is on developing integrated stateoftheart WebDatabase and Web Portal systems for business intelligence knowledgemanagement and eGovernment solutions This position will be filled by asoftware developer with a proven history of producing quality softwareproduct in a commercial setting with experience in all aspects of thesoftware development process including design implementation testingand delivery
Java Developer,An American software development company is activelylooking for Java developers for complex and longterm projects Theposition entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Sales Manager,We are looking for a candidate to fulfill the positionof Sales Manager who will communicate with clients and organize wholesale process in the company office
Java Developer,Vested Development Inc is actively looking for Javadevelopers for complex and longterm projects The position entailsworking with Sun and IBM products portal solutions the latest Javatechnologies The projects will deal with large wellknown customers
Sales Manager,The incumbent will sell real estate in the territoryof Vahakni Community
Java Developer,Synergy International Systems IncArmenia seeks tofill the position of Java Developer The responsibilities of thisposition are focused on core software development tasks in SynergyInternational Systems Inc
Project Manager,ArmenTel is looking for candidates to fulfill theposition of Project Manager
Project Manager,The Armenian branch of a USbased software company isseeking candidates with a proven history of project management to fillthe position of a Project Manager The responsibilities of this positionare focused on assistance to the Senior Project Manager and RegionalRepresentative in carrying out the monitoring and evaluation the projectimplementation procedures The selected candidate will supervisepersonnel involved in the project development as well as monitor theactual project design
Project Manager,Cornerstone is looking for candidates to fill theposition of Project Manager
Java Developer,The responsibilities of this position are focused onsoftware development tasks related to the upcoming projects in SynergyInternational Systems Inc This position will be filled by a softwaredeveloper with a proven history of producing quality software product ina commercial setting with experience in all aspects of the softwaredevelopment process including design implementation testing anddelivery
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Project Manager,The primary objective of this position is to ensurethe highest possible efficiency level from the project team to thesuccessful completion of projects while maintaining compliance toprocess  The incumbent will act a liaison between business and theproject team and instill a passion for excellence on the team
Java Developer,Nairisoft Inc is looking for a highly qualifiedperson with deep knowledge and practical experience in Web programmingThe selected candidate will be involved in all stages of the developmentlife cycle
